"Load Group","SCH PKP Date","PKP City","DLV City","Dole Order #","Carrier Name","SCH DLV Date","SCH DLV Time","Last Carrier ETA Date and Time","Carrier Late Reason","Rem Miles","CarrierInstructions","Late Source","TMS Load #","Last Loc of Truck Date /Time ","Carrier DLV Arrv Date","TMS Load Status","Load On -Time "
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","97YWH","Gary Transport Inc","09/20/22","20:00","09/20/22 16:00","","0","","","13574150","09/20/22 23:57","09/20/22 15:39","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","9TRYW","PRIME INC","09/20/22","20:00","09/20/22 19:00","","0","","","13573767","","09/20/22 15:07","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","97YMF","PRIME INC","09/20/22","20:00","09/20/22 19:00","","0","","","13573767","","09/20/22 15:07","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","9TTEA","JEAR LOGISTICS - VEG","09/20/22","20:00","09/20/22 20:00","","0","","","13576676","09/21/22 04:39","09/20/22 22:10","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","9TRYY","KENNESAW TRANSPORTATION INC","09/20/22","10:00","09/20/22 08:00","","0","","","13573769","09/20/22 07:44","09/20/22 08:10","Submit For Approval","Y"
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","9TSHY","PRIME INC","09/20/22","10:00","09/20/22 10:00","Driver Error","0","","EDI","13574151","","09/20/22 08:46","Delivered","N"
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","9TSIH","CENTRAL TRUCKING INC CTI","09/20/22","12:00","09/20/22 11:00","","0","","","13574154","09/20/22 10:27","09/20/22 08:47","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","9TRZE","AMAN TRUCK LINES","09/20/22","14:00","09/20/22 14:00","","0","","","13573770","09/20/22 13:00","09/20/22 12:05","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","9TRZA","KENNESAW TRANSPORTATION INC","09/20/22","12:00","","","0","","","13573768","09/20/22 02:03","09/20/22 02:21","Submit For Approval","Y"
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","9TSIB","CENTRAL TRUCKING INC CTI","09/20/22","10:00","09/20/22 10:00","","0","","","13574152","09/20/22 09:10","09/20/22 04:01","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","9TSHJ","MAJOR EXPRESS","09/20/22","08:00","09/20/22 01:00","","0","","","13574146","09/20/22 07:00","09/20/22 05:30","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","9TSHG","FOLSOM TRUCKING INC","09/20/22","08:00","09/20/22 08:00","","0","","","13574145","09/20/22 11:46","09/20/22 08:00","Submit For Approval","Y"
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","9TSHM","US TRANSPORT INC","09/20/22","01:00","09/20/22 01:00","","0","","","13574147","09/20/22 02:15","09/20/22 01:00","1st Invoice Processed","Y"
"WEST TO EAST IB","09/17/22","MARINA","SPRINGFIELD","9TSHS","AMAN TRUCK LINES","09/20/22","06:00","09/20/22 06:00","","0","","","13574149","09/20/22 06:00","09/20/22 05:00","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","9TRZI","AMAN TRUCK LINES","09/20/22","06:00","09/20/22 03:00","","0","","","13573772","09/20/22 05:00","09/20/22 04:25","Delivered","Y"
"WEST TO EAST IB","09/17/22","MARINA","BESSEMER CITY","97YMC","PRIME INC","09/20/22","20:00","09/20/22 20:00","Shipper Related","0","","EDI","13576738","","09/20/22 13:09","Delivered","N"
